fecha,granos_de_polen
2010-01-01,0
2010-01-02,0
2010-01-03,0
2010-01-04,0
2010-01-05,1
2010-01-06,0
2010-01-07,1
2010-01-08,0
2010-01-09,0
2010-01-10,0
2010-01-11,0
2010-01-12,0
2010-01-13,0
2010-01-14,0
2010-01-15,0
2010-01-16,0
2010-01-17,0
2010-01-18,0
2010-01-19,1
2010-01-20,0
2010-01-21,0
2010-01-22,0
2010-01-23,0
2010-01-24,0
2010-01-25,0
2010-01-26,0
2010-01-27,0
2010-01-28,0
2010-01-29,0
2010-01-30,4
2010-01-31,0
2010-02-01,0
2010-02-02,0
2010-02-03,0
2010-02-04,0
2010-02-05,8
2010-02-06,1
2010-02-07,0
2010-02-08,5
2010-02-09,2
2010-02-10,1
2010-02-11,2
2010-02-12,1
2010-02-13,0
2010-02-14,0
2010-02-15,0
2010-02-16,0
2010-02-17,0
2010-02-18,1
2010-02-19,1
2010-02-20,1
2010-02-21,0
2010-02-22,1
2010-02-23,0
2010-02-24,0
2010-02-25,1
2010-02-26,1
2010-02-27,0
2010-02-28,2
2010-03-01,2
2010-03-02,1
2010-03-03,0
2010-03-04,5
2010-03-05,1
2010-03-06,0
2010-03-07,0
2010-03-08,1
2010-03-09,0
2010-03-10,0
2010-03-11,0
2010-03-12,0
2010-03-13,0
2010-03-14,0
2010-03-15,1
2010-03-16,0
2010-03-17,2
2010-03-18,0
2010-03-19,0
2010-03-20,2
2010-03-21,1
2010-03-22,10
2010-03-23,3
2010-03-24,2
2010-03-25,0
2010-03-26,13
2010-03-27,1
2010-03-28,3
2010-03-29,2
2010-03-30,0
2010-03-31,3
2010-04-01,4
2010-04-02,1
2010-04-03,3
2010-04-04,0
2010-04-05,0
2010-04-06,3
2010-04-07,0
2010-04-08,0
2010-04-09,2
2010-04-10,7
2010-04-11,6
2010-04-12,5
2010-04-13,3
2010-04-14,0
2010-04-15,2
2010-04-16,2
2010-04-17,1
2010-04-18,2
2010-04-19,5
2010-04-20,8
2010-04-21,6
2010-04-22,12
2010-04-23,11
2010-04-24,14
2010-04-25,18
2010-04-26,19
2010-04-27,12
2010-04-28,20
2010-04-29,22
2010-04-30,7
2010-05-01,15
2010-05-02,23
2010-05-03,0
2010-05-04,5
2010-05-05,1
2010-05-06,11
2010-05-07,19
2010-05-08,3
2010-05-09,4
2010-05-10,13
2010-05-11,26
2010-05-12,13
2010-05-13,1
2010-05-14,3
2010-05-15,9
2010-05-16,10
2010-05-17,25
2010-05-18,37
2010-05-19,59
2010-05-20,123
2010-05-21,50
2010-05-22,73
2010-05-23,132
2010-05-24,324
2010-05-25,204
2010-05-26,132
2010-05-27,95
2010-05-28,26
2010-05-29,60
2010-05-30,134
2010-05-31,140
2010-06-01,170
2010-06-02,117
2010-06-03,145
2010-06-04,205
2010-06-05,282
2010-06-06,166
2010-06-07,144
2010-06-08,79
2010-06-09,6
2010-06-10,7
2010-06-11,4
2010-06-12,0
2010-06-13,1
2010-06-14,21
2010-06-15,20
2010-06-16,4
2010-06-17,6
2010-06-18,32
2010-06-19,45
2010-06-20,34
2010-06-21,34
2010-06-22,81
2010-06-23,20
2010-06-24,0
2010-06-25,0
2010-06-26,0
2010-06-27,0
2010-06-28,16
2010-06-29,16
2010-06-30,13
2010-07-01,10
2010-07-02,1
2010-07-03,1
2010-07-04,9
2010-07-05,41
2010-07-06,10
2010-07-07,28
2010-07-08,17
2010-07-09,26
2010-07-10,12
2010-07-11,5
2010-07-12,25
2010-07-13,25
2010-07-14,8
2010-07-15,14
2010-07-16,11
2010-07-17,7
2010-07-18,2
2010-07-19,20
2010-07-20,12
2010-07-21,15
2010-07-22,12
2010-07-23,8
2010-07-24,11
2010-07-25,11
2010-07-26,7
2010-07-27,4
2010-07-28,3
2010-07-29,8
2010-07-30,0
2010-07-31,3
2010-08-01,0
2010-08-02,1
2010-08-03,4
2010-08-04,3
2010-08-05,1
2010-08-06,1
2010-08-07,1
2010-08-08,0
2010-08-09,0
2010-08-10,0
2010-08-11,0
2010-08-12,2
2010-08-13,0
2010-08-14,1
2010-08-15,0
2010-08-16,0
2010-08-17,0
2010-08-18,1
2010-08-19,0
2010-08-20,1
2010-08-21,1
2010-08-22,1
2010-08-23,0
2010-08-24,0
2010-08-25,0
2010-08-26,1
2010-08-27,0
2010-08-28,0
2010-08-29,1
2010-08-30,2
2010-08-31,1
2010-09-01,3
2010-09-02,0
2010-09-03,0
2010-09-04,0
2010-09-05,1
2010-09-06,2
2010-09-07,1
2010-09-08,1
2010-09-09,1
2010-09-10,3
2010-09-11,2
2010-09-12,0
2010-09-13,1
2010-09-14,0
2010-09-15,1
2010-09-16,0
2010-09-17,1
2010-09-18,0
2010-09-19,1
2010-09-20,2
2010-09-21,0
2010-09-22,1
2010-09-23,0
2010-09-24,1
2010-09-25,0
2010-09-26,0
2010-09-27,1
2010-09-28,0
2010-09-29,0
2010-09-30,1
2010-10-01,1
2010-10-02,1
2010-10-03,0
2010-10-04,0
2010-10-05,0
2010-10-06,1
2010-10-07,1
2010-10-08,0
2010-10-09,0
2010-10-10,0
2010-10-11,0
2010-10-12,0
2010-10-13,0
2010-10-14,1
2010-10-15,0
2010-10-16,1
2010-10-17,0
2010-10-18,0
2010-10-19,0
2010-10-20,0
2010-10-21,1
2010-10-22,0
2010-10-23,0
2010-10-24,0
2010-10-25,0
2010-10-26,0
2010-10-27,0
2010-10-28,0
2010-10-29,0
2010-10-30,1
2010-10-31,0
2010-11-01,0
2010-11-02,0
2010-11-03,0
2010-11-04,0
2010-11-05,0
2010-11-06,0
2010-11-07,0
2010-11-08,0
2010-11-09,0
2010-11-10,0
2010-11-11,0
2010-11-12,0
2010-11-13,0
2010-11-14,0
2010-11-15,0
2010-11-16,0
2010-11-17,0
2010-11-18,0
2010-11-19,0
2010-11-20,0
2010-11-21,0
2010-11-22,0
2010-11-23,0
2010-11-24,0
2010-11-25,0
2010-11-26,0
2010-11-27,0
2010-11-28,0
2010-11-29,0
2010-11-30,0
2010-12-01,0
2010-12-02,0
2010-12-03,0
2010-12-04,0
2010-12-05,0
2010-12-06,0
2010-12-07,0
2010-12-08,0
2010-12-09,0
2010-12-10,0
2010-12-11,0
2010-12-12,0
2010-12-13,0
2010-12-14,0
2010-12-15,0
2010-12-16,0
2010-12-17,0
2010-12-18,0
2010-12-19,0
2010-12-20,2
2010-12-21,0
2010-12-22,0
2010-12-23,0
2010-12-24,0
2010-12-25,0
2010-12-26,0
2010-12-27,0
2010-12-28,0
2010-12-29,0
2010-12-30,0
2010-12-31,0
2011-01-01,0
2011-01-02,0
2011-01-03,0
2011-01-04,0
2011-01-05,0
2011-01-06,1
2011-01-07,0
2011-01-08,0
2011-01-09,0
2011-01-10,0
2011-01-11,1
2011-01-12,2
2011-01-13,3
2011-01-14,2
2011-01-15,0
2011-01-16,1
2011-01-17,1
2011-01-18,0
2011-01-19,0
2011-01-20,0
2011-01-21,0
2011-01-22,0
2011-01-23,0
2011-01-24,0
2011-01-25,0
2011-01-26,0
2011-01-27,0
2011-01-28,0
2011-01-29,0
2011-01-30,0
2011-01-31,0
2011-02-01,0
2011-02-02,0
2011-02-03,0
2011-02-04,1
2011-02-05,1
2011-02-06,2
2011-02-07,4
2011-02-08,4
2011-02-09,7
2011-02-10,10
2011-02-11,4
2011-02-12,2
2011-02-13,3
2011-02-14,2
2011-02-15,2
2011-02-16,0
2011-02-17,3
2011-02-18,2
2011-02-19,0
2011-02-20,4
2011-02-21,2
2011-02-22,7
2011-02-23,5
2011-02-24,9
2011-02-25,18
2011-02-26,16
2011-02-27,1
2011-02-28,0
2011-03-01,0
2011-03-02,0
2011-03-03,0
2011-03-04,0
2011-03-05,0
2011-03-06,1
2011-03-07,1
2011-03-08,4
2011-03-09,0
2011-03-10,3
2011-03-11,0
2011-03-12,0
2011-03-13,1
2011-03-14,0
2011-03-15,7
2011-03-16,1
2011-03-17,3
2011-03-18,12
2011-03-19,8
2011-03-20,3
2011-03-21,2
2011-03-22,2
2011-03-23,0
2011-03-24,0
2011-03-25,1
2011-03-26,8
2011-03-27,3
2011-03-28,5
2011-03-29,8
2011-03-30,7
2011-03-31,0
2011-04-01,0
2011-04-02,0
2011-04-03,0
2011-04-04,7
2011-04-05,1
2011-04-06,2
2011-04-07,3
2011-04-08,4
2011-04-09,9
2011-04-10,0
2011-04-11,7
2011-04-12,7
2011-04-13,4
2011-04-14,0
2011-04-15,0
2011-04-16,0
2011-04-17,0
2011-04-18,24
2011-04-19,6
2011-04-20,4
2011-04-21,3
2011-04-22,1
2011-04-23,2
2011-04-24,1
2011-04-25,4
2011-04-26,3
2011-04-27,6
2011-04-28,9
2011-05-02,5
2011-05-03,21
2011-05-04,25
2011-05-05,51
2011-05-06,26
2011-05-07,63
2011-05-08,59
2011-05-09,57
2011-05-10,36
2011-05-11,28
2011-05-12,34
2011-05-13,108
2011-05-14,36
2011-05-15,24
2011-05-16,54
2011-05-17,43
2011-05-18,43
2011-05-19,8
2011-05-20,65
2011-05-21,161
2011-05-22,111
2011-05-23,96
2011-05-24,117
2011-05-25,145
2011-05-26,299
2011-05-30,66
2011-05-31,24
2011-06-01,14
2011-06-02,9
2011-06-03,28
2011-06-04,24
2011-06-05,13
2011-06-06,2
2011-06-07,3
2011-06-08,44
2011-06-13,91
2011-06-14,107
2011-06-15,77
2011-06-16,75
2011-06-17,160
2011-06-18,55
2011-06-19,62
2011-06-20,95
2011-06-21,82
2011-06-22,38
2011-06-23,0
2011-06-24,20
2011-06-25,14
